Area,Year obs,Date/time start,Date/time end,Content,GeoTIFF,Shapefile,File type,Site info,Event,Latitude,Longitude,Date/Time
"Aalen, Germany",2015,2015-05-01,2015-07-31,6 band color composits,c7126_Aalen_bands_20150501-20150731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2015,2015-08-01,2015-10-31,6 band color composits,c7126_Aalen_bands_20150801-20151031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2016,2016-08-01,2016-10-31,6 band color composits,c7126_Aalen_bands_20160801-20161031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2017,2017-08-01,2017-10-31,6 band color composits,c7126_Aalen_bands_20170801-20171031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2018,2018-05-01,2018-07-31,6 band color composits,c7126_Aalen_bands_20180501-20180731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2018,2018-08-01,2018-10-31,6 band color composits,c7126_Aalen_bands_20180801-20181031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2019,2019-08-01,2019-10-31,6 band color composits,c7126_Aalen_bands_20190801-20191031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2020,2020-08-01,2020-10-31,6 band color composits,c7126_Aalen_bands_20200801-20201031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2021,2021-05-01,2021-07-31,6 band color composits,c7126_Aalen_bands_20210501-20210731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2021,2021-08-01,2021-10-31,6 band color composits,c7126_Aalen_bands_20210801-20211031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2022,2022-05-01,2022-07-31,6 band color composits,c7126_Aalen_bands_20220501-20220731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2023,2023-05-01,2023-07-31,6 band color composits,c7126_Aalen_bands_20230501-20230731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2023,2023-08-01,2023-10-31,6 band color composits,c7126_Aalen_bands_20230801-20231031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1984,1984-08-01,1984-10-31,Vegetation index,c7126_Aalen_NDVI_19840801-19841031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1985,1985-05-01,1985-07-31,Vegetation index,c7126_Aalen_NDVI_19850501-19850731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1985,1985-08-01,1985-10-31,Vegetation index,c7126_Aalen_NDVI_19850801-19851031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1986,1986-05-01,1986-07-31,Vegetation index,c7126_Aalen_NDVI_19860501-19860731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1986,1986-08-01,1986-10-31,Vegetation index,c7126_Aalen_NDVI_19860801-19861031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1988,1988-05-01,1988-07-31,Vegetation index,c7126_Aalen_NDVI_19880501-19880731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1988,1988-08-01,1988-10-31,Vegetation index,c7126_Aalen_NDVI_19880801-19881031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1989,1989-05-01,1989-07-31,Vegetation index,c7126_Aalen_NDVI_19890501-19890731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
