Site,Country,Province,Lab label,Comm,Dating meth,Age dated,Age dated std dev,Age dated_2,Age dated std dev_2,Reference,Cal age max,Cal age min
Gua Madai,Malaysia,Sabah,ANU-2397,Uncalibrated,Radiocarbon age,7.92,370.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",9.684,8.01
Gua Madai,Malaysia,Sabah,ANU-2398,Uncalibrated,Radiocarbon age,7.39,270.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",8.975,7.676
Gua Madai,Malaysia,Sabah,ANU-2943,Uncalibrated,Radiocarbon age,2.71,70.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",2.992,2.725
Gua Madai,Malaysia,Sabah,ANU-2396,Uncalibrated,Radiocarbon age,2.65,80.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",2.958,2.493
Gua Madai,Malaysia,Sabah,ANU-2945,Uncalibrated,Radiocarbon age,2.02,90.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",2.3,1.726
Gua Madai,Malaysia,Sabah,ANU-2395,Uncalibrated,Radiocarbon age,1.59,150.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",1.828,1.179
Gua Madai,Malaysia,Sabah,ANU2395,Uncalibrated,Radiocarbon age,1.59,150.0,,,"Cochrane, E. E., Rieth, T. M., & Filimoehala, D. (2021). The first quantitative assessment of radiocarbon chronologies for initial pottery in Island Southeast Asia supports multi-directional Neolithic dispersal. PloS one, 16(6), e0251407.",1.828,1.179
Gua Madai,Malaysia,Sabah,ANU-2944,Uncalibrated,Radiocarbon age,0.96,70.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",1.05,0.725
Gua Niah,Malaysia,Sarawak,H-M1,Uncalibrated,Radiocarbon age,39.6,,,,"HARRISSON, T. (1970). The prehistory of Borneo. Asian Perspectives, 13, 17-45.",43.025,42.735
Gua Niah,Malaysia,Sarawak,E/B1 100,No_c14,U-series,35.2,26.0,,,"Curnoe D, Datan I, Zhao J-x, Leh Moi Ung C, Aubert M, Sauffi MS, et al. (2018) Rare Late Pleistocene-early Holocene human mandibles from the Niah Caves (Sarawak, Borneo). PLoS ONE 13 (6): e0196633.",,
