Depth sed,Age,Uvigerina spp. δ13C,Uvigerina spp. δ18O,Event,Latitude,Longitude,Elevation,Date/Time
10.03,34.186,-0.318,4.27,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.08,34.365,-0.04,4.348,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.13,34.545,-0.709,4.338,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.18,34.724,-0.746,4.178,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.23,34.903,-0.506,4.4,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.38,35.441,-0.017,4.312,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.43,35.62,-0.701,4.101,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.48,35.8,-0.703,3.605,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.53,35.979,-0.61,4.119,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.58,36.158,-0.535,4.23,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.63,36.337,-0.544,4.165,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.68,36.517,-0.496,4.283,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.73,36.696,-0.909,4.391,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.78,36.875,-0.648,4.144,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
10.83,37.055,-0.707,4.124,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.03,37.774,-0.204,4.142,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.08,37.965,-0.998,3.685,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.13,38.157,-0.46,4.138,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.18,38.348,-0.957,3.851,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.23,38.539,-0.52,4.034,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.28,38.73,-0.699,3.68,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.33,38.921,-0.494,3.997,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.38,39.112,-0.684,3.756,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.43,39.303,-0.471,3.896,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.48,39.495,-0.559,3.797,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.53,39.686,-0.479,3.912,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.58,39.877,-0.395,3.759,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.63,40.068,-0.154,3.8,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.73,40.484,-0.558,3.821,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.78,40.704,-0.825,3.813,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.83,40.923,-0.357,3.884,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.88,41.142,-0.97,3.804,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.93,41.362,-1.289,3.737,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
11.98,41.581,-0.707,3.881,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
12.03,41.801,-0.494,3.792,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
12.08,42.02,-0.474,3.776,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
12.18,42.459,-0.565,3.866,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
